waterbody_name,fish_species_present_at_waterbody,comments,special_regulations_on_waterbody,county,types_of_public_access,public_fishing_access_owner,waterbody_information,longitude,latitude,location,location_2
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.72326842,42.01768709,POINT(-76.723268419 42.017687092),POINT(-76.723268419 42.017687092)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.63368809,42.00302355,POINT(-76.633688086 42.00302355),POINT(-76.633688086 42.00302355)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.93264658,42.12133505,POINT(-76.932646575 42.121335045),POINT(-76.932646575 42.121335045)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.95156008,42.12434275,POINT(-76.951560082 42.12434275),POINT(-76.951560082 42.12434275)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23867.html,-77.0055655,42.11577762,POINT(-77.005565503 42.115777623),POINT(-77.005565503 42.115777623)
Cohocton River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcohoctriv.pdf,-77.45756057,42.43726112,POINT(-77.457560572 42.437261119),POINT(-77.457560572 42.437261119)
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.64737749,42.12391291,POINT(-75.647377492 42.123912911),POINT(-75.647377492 42.123912911)
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.20077825,42.37722182,POINT(-75.200778251 42.37722182),POINT(-75.200778251 42.37722182)
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.41417732,42.31513605,POINT(-75.414177322 42.315136051),POINT(-75.414177322 42.315136051)
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.52351287,42.22791135,POINT(-75.523512866 42.227911346),POINT(-75.523512866 42.227911346)
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.32352211,42.32068181,POINT(-75.323522111 42.320681805),POINT(-75.323522111 42.320681805)
Tioughnioga River,Smallmouth Bass - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31439.html,Cortland,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7tiouripfr.pdf,-76.07439538,42.49170917,POINT(-76.074395382 42.491709174),POINT(-76.074395382 42.491709174)
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.5457903,42.47254882,POINT(-75.545790298 42.472548816),POINT(-75.545790298 42.472548816)
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.51310737,42.52378793,POINT(-75.513107368 42.52378793),POINT(-75.513107368 42.52378793)
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.51039674,42.67881805,POINT(-75.51039674 42.67881805),POINT(-75.51039674 42.67881805)
Chenango River,Brown Trout,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/63442.html,-75.60807481,42.85900439,POINT(-75.608074811 42.859004393),POINT(-75.608074811 42.859004393)
Salmon River,Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Atlantic Salmon* - Smallmouth Bass,Camping available at state park.,,Oswego,Shore Fishing,Selkirk Shores State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/r7salrivpfr.pdf,-76.20350444,43.56745963,POINT(-76.203504438 43.567459626),POINT(-76.203504438 43.567459626)
Carmans River,Brook Trout* - Brown Trout* - Rainbow Trout*,Tidal,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23865.html,-72.88348892,40.80157303,POINT(-72.883488915 40.801573033),POINT(-72.883488915 40.801573033)
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,Tidal,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Suffolk County Park,http://www.dec.ny.gov/outdoor/23865.html,-73.21097849,40.85779918,POINT(-73.210978492 40.857799176),POINT(-73.210978492 40.857799176)
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,Tidal - Town park permit required.,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Boat Launch (Hand Launch),Municipal,http://www.dec.ny.gov/outdoor/23865.html,-73.2004987,40.86384159,POINT(-73.200498701 40.863841594),POINT(-73.200498701 40.863841594)
Saranac River,Atlantic Salmon - Brown Trout - Rainbow Trout - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsaranac.pdf,-73.44990579,44.68920254,POINT(-73.449905785 44.689202541),POINT(-73.449905785 44.689202541)
Salmon River,Brook Trout - Brown Trout*,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrc.pdf,-73.6952539,44.59075613,POINT(-73.695253902 44.590756132),POINT(-73.695253902 44.590756132)
West Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing,Saranac Lake Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwbausable.pdf,-73.91556461,44.31074358,POINT(-73.915564611 44.310743575),POINT(-73.915564611 44.310743575)
North Branch Great Chazy River,Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbchazy.pdf,-73.87479468,44.88465224,POINT(-73.874794684 44.884652244),POINT(-73.874794684 44.884652244)
West Canada Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-74.99608609,43.16332365,POINT(-74.996086087 43.16332365),POINT(-74.996086087 43.16332365)
West Canada Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-74.98377933,43.08546199,POINT(-74.983779328 43.085461991),POINT(-74.983779328 43.085461991)
Oriskany Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement,,-75.48375123,42.92756354,POINT(-75.483751226 42.927563542),POINT(-75.483751226 42.927563542)
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.85622796,43.19182532,POINT(-73.856227958 43.191825316),POINT(-73.856227958 43.191825316)
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.87768708,43.13801064,POINT(-73.877687077 43.138010643),POINT(-73.877687077 43.138010643)
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.9178984,43.05258697,POINT(-73.917898397 43.052586965),POINT(-73.917898397 43.052586965)
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.86674066,43.03169238,POINT(-73.866740662 43.031692383),POINT(-73.866740662 43.031692383)
Batten Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.31137863,43.08303732,POINT(-73.311378628 43.083037323),POINT(-73.311378628 43.083037323)
Batten Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.35495464,43.13587957,POINT(-73.354954639 43.13587957),POINT(-73.354954639 43.13587957)
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.21109522,43.44382388,POINT(-75.211095217 43.443823877),POINT(-75.211095217 43.443823877)
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.27403585,43.49337778,POINT(-75.274035848 43.493377775),POINT(-75.274035848 43.493377775)
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.3076741,43.53254981,POINT(-75.3076741 43.53254981),POINT(-75.3076741 43.53254981)
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.33077592,43.57024992,POINT(-75.330775915 43.570249921),POINT(-75.330775915 43.570249921)
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.36535764,43.6786498,POINT(-75.365357639 43.678649799),POINT(-75.365357639 43.678649799)
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.39893257,43.71113059,POINT(-75.398932569 43.711130585),POINT(-75.398932569 43.711130585)
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.44670321,43.77477352,POINT(-75.446703206 43.774773516),POINT(-75.446703206 43.774773516)
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.50521032,43.89523514,POINT(-75.50521032 43.895235137),POINT(-75.50521032 43.895235137)
Black River,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23890.html,-76.04618036,44.00535713,POINT(-76.046180361 44.005357127),POINT(-76.046180361 44.005357127)
Black River,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23890.html,-76.04038825,44.00582004,POINT(-76.040388249 44.005820035),POINT(-76.040388249 44.005820035)
Stoney Creek,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon - Smallmouth Bass - Northern Pike,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - New York State Park Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstonyck.pdf,-76.22913591,43.82489987,POINT(-76.229135907 43.824899867),POINT(-76.229135907 43.824899867)
South Sandy Creek,Brown Trout - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - Lakeview Wildlife Management Area (DEC) - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-76.18250004,43.70990992,POINT(-76.182500037 43.709909916),POINT(-76.182500037 43.709909916)
South Sandy Creek,Brook Trout*,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-75.92529329,43.77769635,POINT(-75.925293291 43.777696352),POINT(-75.925293291 43.777696352)
West Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement - Fish Creek State Forest (DEC),http://www.dec.ny.gov/lands/8072.html,-75.71447777,43.29366521,POINT(-75.714477768 43.293665209),POINT(-75.714477768 43.293665209)
East Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement - East Branch Fish Creek State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebfishcreek.pdf,-75.59424075,43.46382801,POINT(-75.594240745 43.463828007),POINT(-75.594240745 43.463828007)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Camping available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Burnham Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.26489202,44.16300875,POINT(-76.264892023 44.163008752),POINT(-76.264892023 44.163008752)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Cedar Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.19902929,44.20429601,POINT(-76.199029291 44.204296007),POINT(-76.199029291 44.204296007)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Grass Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.99992054,44.28221782,POINT(-75.999920539 44.282217817),POINT(-75.999920539 44.282217817)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Wellesely Island State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.03289458,44.33217536,POINT(-76.032894584 44.332175362),POINT(-76.032894584 44.332175362)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Kring Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.85961194,44.37458514,POINT(-75.859611935 44.374585142),POINT(-75.859611935 44.374585142)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Jacques Cartier State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.68623604,44.56235456,POINT(-75.686236044 44.562354555),POINT(-75.686236044 44.562354555)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Coles Creek State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.12242041,44.88889887,POINT(-75.122420412 44.888898873),POINT(-75.122420412 44.888898873)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Boat Launch (Trailer Improved),Wilson Hill State Boat Launch,http://www.dec.ny.gov/outdoor/29956.html,-75.01107768,44.92905213,POINT(-75.011077684 44.929052125),POINT(-75.011077684 44.929052125)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/29956.html,-74.92489921,44.95592549,POINT(-74.924899209 44.955925486),POINT(-74.924899209 44.955925486)
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Robert Moses State Park,http://www.dec.ny.gov/outdoor/29956.html,-74.85893172,45.00015061,POINT(-74.858931717 45.000150607),POINT(-74.858931717 45.000150607)
Salmon River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrf.pdf,-74.32023614,44.89824064,POINT(-74.320236144 44.898240638),POINT(-74.320236144 44.898240638)
St. Regis River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Boat Launch (Hand Launch),Debar Mountain Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstregis.pdf,-74.42608883,44.67170866,POINT(-74.426088831 44.671708659),POINT(-74.426088831 44.671708659)
St. Regis River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Contact St. Regis Nation (518-358-5937) for access to waters within their lands.,http://www.dec.ny.gov/outdoor/31444.html,St. Lawrence,Boat Launch (Trailer Improved),DEC,,-74.78628034,44.82271615,POINT(-74.786280341 44.822716152),POINT(-74.786280341 44.822716152)
Delaware River (Upper),Brown Trout - Rainbow Trout - Smallmouth Bass - Walleye - Carp,None,,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23900.html,-75.2143723,41.86807678,POINT(-75.214372297 41.868076776),POINT(-75.214372297 41.868076776)
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-75.05744952,41.66979134,POINT(-75.057449516 41.669791341),POINT(-75.057449516 41.669791341)
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23864.html,-75.05861347,41.6116817,POINT(-75.058613465 41.611681701),POINT(-75.058613465 41.611681701)
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31474.html,Orange,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-74.74025461,41.40509231,POINT(-74.740254614 41.405092306),POINT(-74.740254614 41.405092306)
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.59996264,41.74082551,POINT(-74.59996264 41.740825511),POINT(-74.59996264 41.740825511)
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.61304605,41.71676312,POINT(-74.613046049 41.716763116),POINT(-74.613046049 41.716763116)
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.59959145,41.6924478,POINT(-74.599591451 41.692447795),POINT(-74.599591451 41.692447795)
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.61755652,41.63685449,POINT(-74.617556523 41.636854494),POINT(-74.617556523 41.636854494)
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing,Neversink River Unique Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.63305287,41.59339653,POINT(-74.633052866 41.593396532),POINT(-74.633052866 41.593396532)
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,,Warren,Shore Fishing - Boat Launch (Hand Launch),Lake George Wild Forest (DEC),http://www.dec.ny.gov/lands/28291.html,-73.81414373,43.51371538,POINT(-73.814143727 43.513715376),POINT(-73.814143727 43.513715376)
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,,Warren,Shore Fishing - Boat Launch (Hand Launch),Lake George Wild Forest (DEC),http://www.dec.ny.gov/lands/28291.html,-73.85298804,43.32541838,POINT(-73.852988038 43.325418379),POINT(-73.852988038 43.325418379)
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,,Warren,Shore Fishing - Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23860.html,-73.82599942,43.28732358,POINT(-73.825999418 43.287323582),POINT(-73.825999418 43.287323582)
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31502.html,Saratoga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23860.html,-73.58799323,43.25423203,POINT(-73.587993226 43.254232031),POINT(-73.587993226 43.254232031)
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-74.9913589,42.07658202,POINT(-74.991358898 42.076582022),POINT(-74.991358898 42.076582022)
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.18425268,41.9646901,POINT(-75.184252676 41.964690101),POINT(-75.184252676 41.964690101)
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.26223798,41.96372689,POINT(-75.262237976 41.96372689),POINT(-75.262237976 41.96372689)
Beaver Kill,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.92804461,41.94955917,POINT(-74.928044613 41.949559169),POINT(-74.928044613 41.949559169)
